rank,corridor_id,region,road,n_segments,length_km,n_critical,n_serious,school_or_market,dominant_intervention,cost_tier,total_benefit,mean_bcr_index,mean_ksi_reduction_pct,inspect_at
41,THA_273,THA,Chusak Road,6,84.8,6,0,,Physical protection: footways/crossings/separation (high cost),4,77.5,7.0,96.0,"13.55377,99.95789"
42,THA_771,THA,Si Khio-Det Udom Road,4,81.1,4,0,,Physical protection: footways/crossings/separation (high cost),4,76.2,11.0,97.0,"14.72768,102.38794"
43,THA_781,THA,Khotchaseni Road,7,80.4,7,0,,Physical protection: footways/crossings/separation (high cost),4,74.3,6.0,98.0,"15.41366,101.09102"
44,MAH_794,MAH,(unnamed),1,77.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,73.3,41.0,97.0,"16.39112,73.65878"
45,THA_292,THA,Chaiyaphum-Si Khio Road,5,89.7,5,0,,Physical protection: footways/crossings/separation (high cost),4,73.1,8.0,97.0,"15.19708,101.76552"
46,MAH_783,MAH,Mumbai Highway,1,76.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,72.9,41.0,97.0,"17.74821,76.07632"
47,THA_1007,THA,Chaiyaphum-Chum Phae Road,4,78.2,4,0,,Physical protection: footways/crossings/separation (high cost),4,72.2,10.0,95.0,"15.96958,102.18326"
48,MAH_808,MAH,(unnamed),1,81.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,70.6,40.0,88.0,"17.06651,74.22332"
49,THA_966,THA,Phetkasem Road,4,74.9,4,0,,Physical protection: footways/crossings/separation (high cost),4,70.3,10.0,96.0,"7.97203,99.11178"
50,THA_831,THA,Sukhumvit Road,8,75.5,8,0,,Physical protection: footways/crossings/separation (high cost),4,70.3,5.0,98.0,"12.40052,102.34654"
51,THA_4,THA,Kanchanaphisek Road,2,73.4,2,0,,Physical protection: footways/crossings/separation (high cost),4,69.6,20.0,95.0,"13.80616,100.41043"
52,THA_339,THA,(unnamed corridor),1,74.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,69.1,39.0,97.0,"14.48575,98.84046"
53,THA_1018,THA,Chayangkun Road,2,77.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,67.7,19.0,98.0,"18.17772,103.16065"
54,THA_796,THA,Malai Maen Road,5,70.9,5,0,,Physical protection: footways/crossings/separation (high cost),4,66.8,7.0,96.0,"13.94596,100.00019"
55,THA_239,THA,Chaeng Sanit Road,3,70.4,3,0,,Physical protection: footways/crossings/separation (high cost),4,66.5,12.0,98.0,"16.05119,102.92904"
56,MAH_694,MAH,(unnamed),1,79.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,66.5,37.0,92.0,"20.06454,79.67399"
57,THA_177,THA,Ratchaphruek Road,4,69.3,4,0,,Physical protection: footways/crossings/separation (high cost),4,65.1,9.0,94.0,"13.82077,100.45252"
58,THA_928,THA,Mittraphap Road,3,68.5,3,0,,Physical protection: footways/crossings/separation (high cost),4,64.8,13.0,94.0,"17.64406,102.78727"
59,THA_2040,THA,Thinanon Road,2,69.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,62.0,17.0,95.0,"16.89773,103.90165"
60,THA_19,THA,Borommaratchachonnani Road,5,67.1,5,0,,Physical protection: footways/crossings/separation (high cost),4,61.6,7.0,93.0,"13.78252,100.33375"
61,THA_2053,THA,Thep Krasattri Road,10,66.4,10,0,,Physical protection: footways/crossings/separation (high cost),4,59.9,3.0,95.0,"8.07379,98.33903"
62,THA_307,THA,Lom Sak-Loei Road,3,68.0,3,0,,Physical protection: footways/crossings/separation (high cost),4,59.0,11.0,97.0,"17.12369,101.19946"
63,THA_795,THA,Malai Maen Road,3,63.6,3,0,,Physical protection: footways/crossings/separation (high cost),4,58.4,11.0,97.0,"14.25587,99.91664"
64,THA_779,THA,Chayangkun Road,2,63.2,2,0,,Physical protection: footways/crossings/separation (high cost),4,58.3,16.0,98.0,"16.05428,104.61819"
65,THA_217,THA,Phahon Yothin Road,7,68.3,7,0,,Physical protection: footways/crossings/separation (high cost),4,57.8,5.0,97.0,"20.24087,99.86777"
66,MAH_798,MAH,(unnamed),1,63.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,57.4,32.0,92.0,"16.99633,74.24468"
67,MAH_754,MAH,(unnamed),1,82.0,1,0,,Enforcement + calming (medium cost),2,56.5,63.0,72.0,"17.83254,75.43612"
68,THA_676,THA,(unnamed corridor),1,63.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,56.0,31.0,95.0,"15.78274,103.08178"
69,THA_839,THA,Khon Kaen Ring Road,2,56.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,53.9,15.0,96.0,"16.41935,102.82565"
70,THA_692,THA,(unnamed corridor),1,59.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,53.8,30.0,96.0,"18.10972,103.72825"
71,THA_929,THA,Mittraphap Road,4,56.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,53.2,7.0,98.0,"16.65499,102.81036"
72,THA_247,THA,Chaeng Sanit Road,4,58.0,4,0,,Physical protection: footways/crossings/separation (high cost),4,53.2,7.0,96.0,"15.32907,104.69112"
73,THA_947,THA,Phetkasem Road,4,62.1,4,0,,Physical protection: footways/crossings/separation (high cost),4,52.1,7.0,97.0,"8.76626,98.27436"
74,THA_17,THA,Vibhavadi Rangsit Road,4,66.1,4,0,,Physical protection: footways/crossings/separation (high cost),4,52.0,7.0,94.0,"13.86137,100.57544"
75,THA_792,THA,Nittayo Road,8,58.9,8,0,,Physical protection: footways/crossings/separation (high cost),4,51.6,4.0,93.0,"17.36407,102.94124"
76,THA_1008,THA,Chaiyaphum-Chum Phae Road,2,56.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,51.2,14.0,98.0,"16.24493,102.20442"
77,THA_895,THA,Nittayo Road,4,61.8,4,0,,Physical protection: footways/crossings/separation (high cost),4,49.7,7.0,97.0,"17.28731,103.95696"
78,THA_1964,THA,(unnamed corridor),1,58.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,49.6,28.0,94.0,"16.03112,104.32652"
79,THA_825,THA,Sukhumvit Road,5,57.4,5,0,,Physical protection: footways/crossings/separation (high cost),4,49.6,6.0,92.0,"13.53368,100.68615"
80,THA_632,THA,(unnamed corridor),1,54.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,49.6,28.0,94.0,"16.80254,102.19011"
81,THA_766,THA,Suranarai Road,2,53.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,47.9,13.0,96.0,"15.07619,100.87323"
82,THA_214,THA,Phahon Yothin Road,8,55.2,8,0,,Physical protection: footways/crossings/separation (high cost),4,47.7,3.0,97.0,"19.31188,99.82896"
83,THA_931,THA,Somphot Chiang Mai 700 Pi Road,3,50.7,3,0,,Physical protection: footways/crossings/separation (high cost),4,47.6,9.0,95.0,"18.78346,99.00497"
84,THA_980,THA,Phetkasem Road,4,49.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,47.6,7.0,98.0,"13.23290,99.83231"
85,MAH_801,MAH,(unnamed),1,73.4,0,1,,Enforcement + calming (medium cost),2,47.0,53.0,65.0,"17.85866,75.53967"
86,MAH_780,MAH,(unnamed),1,74.7,0,1,,Enforcement + calming (medium cost),2,47.0,53.0,65.0,"16.98704,74.78730"
87,THA_388,THA,(unnamed corridor),1,53.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,46.3,26.0,92.0,"20.09216,99.57412"
88,THA_219,THA,Phahon Yothin Road,4,50.6,4,0,,Enforcement + calming (medium cost),4,46.0,10.0,93.0,"15.50446,100.13339"
89,THA_209,THA,Phahon Yothin Road,7,53.4,7,0,,Physical protection: footways/crossings/separation (high cost),4,46.0,4.0,94.0,"19.94097,99.84428"
90,THA_830,THA,Sukhumvit Road,3,49.2,3,0,,Physical protection: footways/crossings/separation (high cost),4,45.3,9.0,90.0,"12.72196,101.10583"
91,THA_782,THA,Khotchaseni Road,5,49.7,5,0,,Physical protection: footways/crossings/separation (high cost),4,45.2,5.0,98.0,"15.72091,101.02285"
92,MAH_587,MAH,(unnamed),1,82.1,0,0,,Re-set limit / signs (low cost),1,44.6,100.0,66.0,"18.36075,76.13069"
93,THA_596,THA,(unnamed corridor),1,50.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,43.9,25.0,96.0,"17.83248,100.76522"
94,MAH_282,MAH,(unnamed),1,179.7,0,0,,Re-set limit / signs (low cost),1,43.9,99.0,44.0,"19.24768,80.21886"
95,MAH_428,MAH,(unnamed),1,67.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,43.7,25.0,95.0,"19.93380,79.90749"
96,THA_784,THA,Khotchaseni Road,4,48.7,4,0,,Physical protection: footways/crossings/separation (high cost),4,43.4,6.0,98.0,"16.15796,101.06661"
97,MAH_785,MAH,(unnamed),1,46.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,43.1,24.0,94.0,"19.70454,75.11013"
98,THA_985,THA,Chiang Mai-Phrao Road,1,52.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,43.0,24.0,96.0,"19.16477,99.14235"
99,THA_1291,THA,(unnamed corridor),1,48.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,42.4,24.0,97.0,"18.11805,99.90443"
100,THA_1039,THA,Nakhon Ratchasima - Hin Khon Road,1,49.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,42.3,24.0,97.0,"14.45025,103.34211"
101,THA_756,THA,Mittraphap Road,5,47.3,5,0,,Physical protection: footways/crossings/separation (high cost),4,42.3,5.0,93.0,"16.41087,102.81732"
102,MAH_781,MAH,(unnamed),1,44.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,42.2,24.0,97.0,"16.27068,73.69856"
103,THA_973,THA,Phetkasem Road,1,44.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,42.0,24.0,97.0,"7.57342,99.85003"
104,MAH_534,MAH,(unnamed),1,55.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,41.6,23.0,96.0,"19.97881,77.36438"
105,THA_1022,THA,Chayangkun Road,1,56.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,41.1,23.0,98.0,"17.60381,104.54253"
106,THA_952,THA,Phetkasem Road,3,51.5,3,0,,Physical protection: footways/crossings/separation (high cost),4,40.7,8.0,94.0,"9.03897,98.42140"
107,THA_927,THA,Mittraphap Road,2,42.9,2,0,,Physical protection: footways/crossings/separation (high cost),4,40.7,11.0,98.0,"15.93365,102.66910"
108,THA_783,THA,Khotchaseni Road,4,44.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,40.4,6.0,98.0,"15.93527,101.03813"
109,THA_923,THA,Mittraphap Road,2,50.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,40.4,11.0,97.0,"16.85498,100.86475"
110,MAH_464,MAH,(unnamed),1,63.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,40.1,22.0,88.0,"20.85285,79.93019"
111,THA_962,THA,Phetkasem Road,2,46.9,2,0,,Physical protection: footways/crossings/separation (high cost),4,39.5,11.0,97.0,"10.26572,98.75150"
112,MAH_764,MAH,(unnamed),1,59.5,1,0,,Enforcement + calming (medium cost),2,39.5,44.0,70.0,"21.14613,78.46645"
113,THA_716,THA,(unnamed corridor),1,42.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,39.4,22.0,98.0,"15.82753,104.40003"
114,THA_977,THA,Phetkasem Road,4,42.5,4,0,,Physical protection: footways/crossings/separation (high cost),4,38.8,5.0,97.0,"13.46801,99.80289"
115,THA_1896,THA,(unnamed corridor),1,52.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,38.1,21.0,95.0,"17.11226,103.78903"
116,MAH_761,MAH,(unnamed),1,59.7,1,0,,Enforcement + calming (medium cost),2,38.0,43.0,67.0,"21.14621,78.46706"
117,THA_1780,THA,(unnamed corridor),1,49.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,37.9,21.0,97.0,"14.85158,102.65263"
118,MAH_746,MAH,(unnamed),1,41.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,37.7,21.0,97.0,"21.52941,79.34043"
119,THA_734,THA,(unnamed corridor),1,42.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,37.5,21.0,97.0,"15.89072,104.86699"
120,THA_769,THA,Suranarai Road,3,42.8,3,0,,Physical protection: footways/crossings/separation (high cost),4,37.3,7.0,97.0,"15.36218,101.90085"
121,THA_1924,THA,(unnamed corridor),1,45.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,37.3,21.0,95.0,"15.45913,103.99492"
122,THA_644,THA,(unnamed corridor),1,52.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,37.1,21.0,98.0,"12.99590,102.39797"
123,THA_157,THA,Suwannason Road,2,40.0,2,0,,Physical protection: footways/crossings/separation (high cost),4,36.9,10.0,97.0,"14.05769,101.59081"
124,MAH_647,MAH,State Highway 30,1,62.7,0,0,,Re-set limit / signs (low cost),1,36.2,81.0,66.0,"19.92080,72.97654"
125,MAH_492,MAH,(unnamed),1,52.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,36.1,20.0,93.0,"19.75954,79.59187"
126,MAH_735,MAH,(unnamed),1,39.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,36.0,20.0,97.0,"21.52450,79.33798"
127,THA_2047,THA,Maliwan Road,1,38.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,35.5,20.0,97.0,"16.75153,101.97911"
128,THA_896,THA,Nittayo Road,3,40.6,3,0,,Physical protection: footways/crossings/separation (high cost),4,35.2,7.0,97.0,"17.40893,103.66180"
129,THA_1223,THA,(unnamed corridor),1,51.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,35.0,20.0,95.0,"15.26790,99.51479"
130,MAH_712,MAH,(unnamed),1,65.7,0,1,,Enforcement + calming (medium cost),2,34.9,39.0,58.0,"19.13881,74.43877"
131,MAH_633,MAH,(unnamed),1,42.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,34.7,19.0,95.0,"20.63390,79.68399"
132,MAH_804,MAH,(unnamed),1,61.7,0,1,,Enforcement + calming (medium cost),2,34.2,38.0,56.0,"18.25898,74.79559"
133,THA_832,THA,Sukhumvit Road,3,36.7,3,0,,Physical protection: footways/crossings/separation (high cost),4,34.2,6.0,96.0,"12.63498,102.12483"
134,MAH_705,MAH,(unnamed),1,83.1,0,1,,Enforcement + calming (medium cost),2,34.2,38.0,45.0,"17.18740,74.87753"
135,THA_979,THA,Phetkasem Road,3,35.4,3,0,,Physical protection: footways/crossings/separation (high cost),4,34.0,6.0,98.0,"13.01347,99.91646"
136,MAH_692,MAH,(unnamed),1,40.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,33.8,19.0,93.0,"19.14204,74.99889"
137,THA_195,THA,Sukhumvit Road,5,37.2,5,0,,Physical protection: footways/crossings/separation (high cost),4,33.7,4.0,96.0,"12.65691,101.33155"
138,THA_142,THA,Kanchanawanit Road,4,38.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,33.4,5.0,96.0,"6.68433,100.43768"
139,THA_879,THA,Roi Et Outer Ring Road,3,42.6,3,0,,Physical protection: footways/crossings/separation (high cost),4,33.4,6.0,97.0,"16.07469,103.65999"
140,MAH_669,MAH,(unnamed),1,40.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,33.3,19.0,93.0,"17.87901,74.12342"
141,THA_773,THA,Si Khio-Det Udom Road,1,34.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,32.9,18.0,98.0,"14.63634,104.04160"
142,MAH_628,MAH,Amravati Bypass,3,48.0,2,1,,Enforcement + calming (medium cost),2,32.7,12.0,77.0,"20.87497,77.74598"
143,THA_1769,THA,(unnamed corridor),1,36.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,32.3,18.0,97.0,"17.58117,102.64023"
144,THA_252,THA,Phet Kasem Road,3,37.6,0,3,,Physical protection: footways/crossings/separation (high cost),4,31.9,6.0,86.0,"13.71090,100.39072"
145,THA_153,THA,Suwannason Road,8,39.2,8,0,,Physical protection: footways/crossings/separation (high cost),4,31.7,2.0,97.0,"14.17259,101.26271"
146,THA_961,THA,Phetkasem Road,2,38.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,31.7,9.0,97.0,"8.48182,98.70445"
147,THA_762,THA,Saeng Chuto Road,2,33.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,31.6,9.0,96.0,"13.87650,99.81600"
148,THA_1820,THA,(unnamed corridor),1,35.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,31.5,18.0,97.0,"15.19957,103.02926"
149,MAH_723,MAH,(unnamed),1,35.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,31.4,18.0,96.0,"17.12699,74.06147"
150,THA_925,THA,Mittraphap Road,2,32.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,31.2,9.0,97.0,"14.64960,101.31650"
151,THA_1866,THA,(unnamed corridor),1,37.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,31.1,17.0,97.0,"15.35410,103.47678"
152,THA_960,THA,Phetkasem Road,3,36.1,3,0,,Physical protection: footways/crossings/separation (high cost),4,30.8,6.0,97.0,"9.93822,98.63722"
153,MAH_726,MAH,Nagpur Saoner Road,2,34.4,2,0,,Physical protection: footways/crossings/separation (high cost),4,30.7,9.0,95.0,"21.28908,79.06574"
154,THA_698,THA,(unnamed corridor),1,34.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,30.6,17.0,97.0,"15.80819,103.72843"
155,THA_243,THA,Chaeng Sanit Road,3,36.6,3,0,,Physical protection: footways/crossings/separation (high cost),4,30.6,6.0,97.0,"15.93874,104.02878"
156,THA_643,THA,(unnamed corridor),1,32.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,30.4,17.0,97.0,"13.30364,102.18437"
157,THA_1777,THA,(unnamed corridor),1,34.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,30.4,17.0,96.0,"16.26838,102.60504"
158,MAH_557,MAH,Jalna Beed Road,1,39.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,30.4,17.0,96.0,"19.60276,75.78860"
159,THA_1903,THA,(unnamed corridor),1,43.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,30.3,17.0,93.0,"16.54763,103.86979"
160,THA_1020,THA,Chayangkun Road,1,35.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,29.9,17.0,97.0,"18.39976,103.42612"
161,THA_981,THA,Phetkasem Road,2,31.0,2,0,,Physical protection: footways/crossings/separation (high cost),4,29.8,8.0,97.0,"13.73536,99.91246"
162,THA_302,THA,Patthamanon Road,6,43.2,6,0,,Physical protection: footways/crossings/separation (high cost),4,29.7,3.0,97.0,"15.81656,103.58471"
163,THA_970,THA,Phetkasem Road,4,32.1,4,0,,Physical protection: footways/crossings/separation (high cost),4,29.6,4.0,98.0,"11.42741,99.54407"
164,THA_924,THA,Mittraphap Road,4,36.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,29.6,4.0,96.0,"16.77554,101.08758"
165,THA_240,THA,Chaeng Sanit Road,2,32.2,2,0,,Physical protection: footways/crossings/separation (high cost),4,29.5,8.0,98.0,"16.11178,103.20331"
166,THA_1982,THA,(unnamed corridor),1,40.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,29.4,16.0,96.0,"17.45069,104.46684"
167,THA_903,THA,Kanchanaphisek Road Outer Service Road,1,32.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,29.3,16.0,91.0,"13.78696,100.40842"
168,THA_327,THA,Asian Highway,2,32.5,2,0,,Enforcement + calming (medium cost),2,29.2,16.0,91.0,"14.55841,100.49449"
169,MAH_442,MAH,(unnamed),1,46.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,29.2,16.0,89.0,"18.38310,76.11414"
170,THA_24,THA,Prachantakhet Road,1,36.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,29.2,16.0,97.0,"14.82985,102.82345"
171,THA_264,THA,Lam Luk Ka Road,3,32.8,2,1,,Physical protection: footways/crossings/separation (high cost),4,29.1,5.0,88.0,"13.93678,100.68249"
172,THA_311,THA,Thinanon Road,6,38.9,6,0,,Physical protection: footways/crossings/separation (high cost),4,28.8,3.0,96.0,"16.49804,103.57687"
173,THA_206,THA,Phahon Yothin Road,2,30.9,2,0,,Physical protection: footways/crossings/separation (high cost),4,28.6,8.0,98.0,"16.74116,99.21191"
174,MAH_748,MAH,(unnamed),1,31.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,28.4,16.0,96.0,"20.78101,78.94926"
175,MAH_699,MAH,(unnamed),1,36.1,0,1,,Physical protection: footways/crossings/separation (high cost),4,28.4,16.0,87.0,"18.85822,73.53517"
176,THA_1674,THA,(unnamed corridor),1,35.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,28.3,16.0,95.0,"12.74812,101.43615"
177,THA_2050,THA,San Pa Tong-Hang Dong Bypass Road,4,31.9,4,0,,Physical protection: footways/crossings/separation (high cost),4,28.2,4.0,96.0,"18.67577,98.88386"
178,THA_335,THA,(unnamed corridor),1,37.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,28.1,16.0,96.0,"17.10738,98.41021"
179,THA_245,THA,Chaeng Sanit Road,2,30.3,2,0,,Physical protection: footways/crossings/separation (high cost),4,27.9,8.0,98.0,"15.55710,104.41899"
180,MAH_749,MAH,(unnamed),1,30.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,27.8,16.0,96.0,"20.77841,78.94857"
